Sensor,s_0
0,-47819.32879751117
1,-47840.38950165709
2,-47874.62945313333
3,-47876.52049520212
4,-47953.268676825246
5,-47930.76372384115
6,-47884.51536147454
7,-47885.68681085351
8,-47867.075445959716
9,-47932.130912489105
10,-47929.85827196917
11,-47820.66835255613
12,-47845.04887134638
13,-47829.98712556563
14,-47809.36776672143
15,-47728.86218488344
16,-47780.04765279602
17,-47830.37165861713
18,-47863.13858802416
19,-47842.20803030818
20,-47848.83772640859
21,-47799.43454216516
22,-47756.72823888985
23,-47802.87205967567
24,-47819.6810696307
25,-47765.788768528415
26,-47737.32892853853
27,-47783.1126341214
28,-47833.4465901463
29,-47780.177659470595
30,-47800.35160509041
31,-47844.35438649599
32,-47856.866859842645
33,-47858.622132111275
34,-47869.98221129654
35,-47892.18791474125
36,-47936.037435301194
37,-47923.10808150285
38,-47976.64453090247
39,-48047.47945428871
40,-48055.935625773964
41,-48101.56273836743
42,-48025.2192220957
43,-48104.347792053915
44,-48084.7337550786
45,-48100.71335688244
46,-48182.23767596243
47,-48247.72855312026
48,-48269.16041822262
49,-48226.42794797776
50,-48247.64127703809
51,-48220.49931809982
52,-48201.3858930876
53,-48154.65654302659
54,-48182.52455712817
55,-48244.23572753123
56,-48371.8793351271
57,-48357.580052267476
58,-48398.22668232926
59,-48513.15346748278
60,-48523.79256913333
61,-48451.60624546393
62,-48510.62672935403
63,-48512.70614601534
64,-48579.89389846924
65,-48668.66468404095
66,-48757.636324940526
67,-48732.52497584713
68,-48697.45710022883
69,-48650.62963275612
70,-48658.77254918977
71,-48653.26629405356
72,-48656.453518416645
73,-48666.29320918654
74,-48615.59796069983
75,-48665.193398912124
76,-48633.287351841245
77,-48681.5883094918
78,-48663.627246081065
79,-48657.17803251434
80,-48638.43549376791
81,-48634.64589773065
82,-48532.0129589795
83,-48487.675658113265
84,-48535.62387775563
85,-48589.71631825205
86,-48634.59962735296
87,-48634.72746909584
88,-48625.77826303629
89,-48704.525307932534
90,-48657.87683957388
91,-48675.35120370459
92,-48768.90444054208
93,-48738.213868911276
94,-48708.880884694336
95,-48632.296390207564
96,-48589.437540005245
97,-48555.396263389324
98,-48507.29773233677
99,-48445.08074170889
100,-48407.37780267773
101,-48398.63185694963
102,-48343.22249538859
103,-48302.814777112435
104,-48408.668200831155
105,-48451.658187488596
106,-48420.01188919699
107,-48457.58220703224
108,-48461.63390683738
109,-48405.98015685908
110,-48449.86338070589
111,-48443.265621913495
112,-48458.77060178123
113,-48601.12200453055
114,-48567.5918496364
115,-48559.96680168474
116,-48638.1053868145
117,-48706.3339693483
118,-48673.88854611106
119,-48654.03130911296
120,-48695.986200365194
121,-48709.370577121255
122,-48796.39839461765
123,-48779.56675412955
124,-48692.294104523484
125,-48759.68194583538
126,-48752.11286633552
127,-48798.11214129829
128,-48866.35187797336
129,-48811.60079280592
130,-48820.039149262244
131,-48858.912231890885
132,-48905.251212677
133,-48961.69275502747
134,-48958.32497125525
135,-48925.37016491537
136,-48889.86060182505
137,-48923.53133667126
138,-48827.24051045654
139,-48893.562954661604
140,-48944.25722777759
141,-48861.15886609641
142,-48851.70564454475
143,-48882.28738382902
144,-48900.12129826199
145,-48933.67779584817
146,-48937.1821656791
147,-48903.62456163983
148,-48957.88752638367
149,-49004.15958966921
150,-48955.301852121345
151,-49073.22773015466
152,-49128.09927038009
153,-49089.95726781828
154,-49179.0499253606
155,-49173.61440235084
156,-49226.65247916864
157,-49263.4548455934
158,-49224.48704205461
159,-49267.787789756345
160,-49224.4028732834
161,-49332.135552574735
162,-49450.000805830416
163,-49391.517523476316
