Sensor,s_0
0,-38225.98080372237
1,-38316.64397636193
2,-38341.52936673202
3,-38285.090192965596
4,-38179.66358688007
5,-38191.56298501153
6,-38190.297033922165
7,-38189.04398775029
8,-38244.961943351394
9,-38209.08787355913
10,-38125.91521637838
11,-38182.391162914406
12,-38168.30328524828
13,-38186.223397084235
14,-38246.76113204398
15,-38206.553331074385
16,-38173.984122901486
17,-38173.0955621222
18,-38121.47577464611
19,-38148.48316213817
20,-38248.72974482522
21,-38297.04845133716
22,-38271.438465183215
23,-38324.03224737518
24,-38298.92221834116
25,-38283.83077652851
26,-38280.87188157898
27,-38238.82172721754
28,-38189.45760604999
29,-38222.084707408576
30,-38232.67688082861
31,-38273.704197508145
32,-38260.650827850215
33,-38238.62853309422
34,-38142.22560014659
35,-38119.462935950374
36,-38120.921742248865
37,-38130.14274012858
38,-38110.27461343766
39,-38107.52434287508
40,-38100.637327343655
41,-38127.21793282114
42,-38172.99775937608
43,-38202.73044741501
44,-38233.28313600319
45,-38286.15144612076
46,-38333.52481002072
47,-38389.31347387895
48,-38332.64299525549
49,-38326.62277134122
50,-38249.58415608421
51,-38310.46582033743
52,-38266.42532888129
53,-38282.33641611358
54,-38344.25905879792
55,-38392.49104638551
56,-38431.266753984
57,-38467.84367055301
58,-38523.25973907638
59,-38458.89379048065
60,-38543.73813686223
61,-38549.82599169832
62,-38497.431605413585
63,-38529.33502255075
64,-38541.74970367876
65,-38476.889455552366
66,-38498.77733920271
67,-38533.93283622197
68,-38504.285830921
69,-38447.40869926758
70,-38546.53815139689
71,-38600.18498870961
72,-38519.37335917684
73,-38503.210628686575
74,-38477.89842866302
75,-38444.216753684654
76,-38494.72130734633
77,-38509.47188535937
78,-38493.9276126702
79,-38485.14935376161
80,-38564.16670548851
81,-38472.06902711504
82,-38489.683415827996
83,-38548.653448360725
84,-38563.651532628035
85,-38474.63654417507
86,-38492.27602904536
87,-38519.4395819914
88,-38457.57513275558
89,-38401.15119534086
90,-38414.216273086364
91,-38351.892552794736
92,-38283.29851819259
93,-38231.53662187483
94,-38263.74572073491
95,-38274.08553509576
96,-38290.62718764285
97,-38265.16708174782
98,-38319.456330307425
99,-38298.695003988825
100,-38235.23218992739
101,-38223.764274101464
102,-38256.22764226679
103,-38245.09959496463
104,-38188.93452390992
105,-38164.349196692645
106,-38219.27929100627
107,-38230.63982242454
108,-38253.20301164396
109,-38354.013062647115
110,-38323.65191521078
111,-38413.97055038033
112,-38425.61945187883
113,-38444.303880667314
114,-38393.26428722992
115,-38413.72124390456
116,-38430.55545922891
117,-38431.920100628355
118,-38513.72429010519
119,-38568.531700476065
120,-38511.349279199676
121,-38453.25245874936
122,-38457.07121780695
123,-38395.910457213315
124,-38397.69354237044
125,-38387.976927853684
126,-38452.129987348584
127,-38474.0713643924
128,-38418.13580258861
129,-38449.448596510774
130,-38430.46034207366
131,-38395.472406994726
132,-38426.84768142756
133,-38344.785450854615
134,-38304.777959744475
135,-38298.40051359389
136,-38297.42380424142
