Sensor,s_0
0,-30818.510133185842
1,-30757.098104871613
2,-30759.124448280705
3,-30790.21959796353
4,-30814.806463052853
5,-30879.29339539185
6,-30849.27220805363
7,-30800.149249485923
8,-30800.641692609053
9,-30820.065870291513
10,-30773.278017583114
11,-30781.03019429078
12,-30779.4264375337
13,-30787.019256334086
14,-30855.1043598527
15,-30886.224450296377
16,-30872.979738380287
17,-30829.683106674947
18,-30785.404853703858
19,-30757.807831790167
20,-30727.874157671093
21,-30773.694303065477
22,-30733.582915863662
23,-30801.22492633286
24,-30779.257871559465
25,-30796.621607557452
26,-30752.199191937383
27,-30710.075517413825
28,-30616.605980188117
29,-30637.717103122584
30,-30720.504408660578
31,-30797.895601151824
32,-30853.926972704703
33,-30913.660971786547
34,-30902.457444532323
35,-30897.139979466563
36,-30826.17222139231
37,-30795.047155888475
38,-30873.377228375208
39,-30919.50765266525
40,-30964.881648508384
41,-31026.727231840257
42,-31073.414410339523
43,-31117.698141598208
44,-31167.32182202422
45,-31201.07012840652
46,-31279.791081876756
47,-31278.32927257314
48,-31337.19648535512
49,-31320.336730267405
50,-31271.705826948117
51,-31245.701467043637
52,-31213.372168529666
53,-31141.89264756396
54,-31119.28787497816
55,-31155.017728123425
56,-31187.718091189497
57,-31157.954128861045
58,-31106.31370276141
59,-31009.40443404057
60,-30936.506402331626
61,-30905.559520114497
62,-30860.081420890558
63,-30850.78603290208
64,-30796.806625509038
65,-30818.406307436253
66,-30761.573425098635
67,-30811.489733752016
68,-30765.510118760485
69,-30784.4362811429
70,-30840.499559211832
71,-30873.66731428435
72,-30850.202449487442
73,-30903.14688126207
74,-30856.418564840853
75,-30868.247269251115
76,-30848.884713348125
77,-30890.940625539526
78,-30864.78594325943
79,-30760.391034072378
80,-30727.209298412417
81,-30692.138355885923
82,-30639.912354178414
83,-30537.443573876313
84,-30478.982547330088
85,-30448.698385718533
86,-30437.326688519333
87,-30330.33137730828
88,-30462.94321151054
89,-30516.444963533122
90,-30536.146792813815
91,-30486.522726255844
92,-30567.529431716808
93,-30616.879126658783
94,-30641.063513122288
95,-30633.9711974314
96,-30681.9066761365
97,-30678.191248333602
98,-30734.989840470033
99,-30772.559520948773
100,-30786.871978689695
101,-30785.626324477846
102,-30750.712154976325
103,-30740.9546293923
104,-30622.206129098577
105,-30668.091937603873
106,-30717.857576118855
107,-30781.31617362482
108,-30757.52382603795
109,-30781.400133979085
110,-30802.36400145907
111,-30771.422884882046
112,-30688.24711930439
113,-30687.100083448477
114,-30580.774475884038
115,-30563.609212116226
116,-30534.28008317943
117,-30524.634545149787
118,-30507.747819967335
119,-30401.708622114755
120,-30415.568851663516
121,-30453.014456248347
122,-30462.227366777763
123,-30410.9733043449
124,-30385.698008338488
125,-30428.46045607962
126,-30430.815578707858
127,-30413.321842570163
128,-30442.39694489747
129,-30423.6559961828
130,-30413.108474721656
131,-30485.59957375695
132,-30450.10214201566
133,-30511.60319090735
134,-30578.944414636226
135,-30584.158745333072
136,-30553.6519190042
137,-30523.701832103106
138,-30539.57062985467
139,-30644.916292245212
140,-30619.41497852488
141,-30641.9372788679
142,-30599.077774731195
143,-30667.23084860529
144,-30668.2997030272
145,-30642.437805091227
146,-30679.75775712601
147,-30602.608897424187
148,-30595.416627931958
149,-30555.61189146574
150,-30556.9325584344
151,-30553.756484989568
152,-30576.24653930039
153,-30604.946543431324
154,-30745.834620921712
155,-30735.59924319709
156,-30763.748684548926
157,-30782.746338333374
158,-30736.005081809533
159,-30746.007794240828
160,-30782.588107884494
161,-30733.970100098373
162,-30715.036632159674
163,-30730.981887492253
164,-30750.65730824631
165,-30735.11172644246
166,-30790.375868930707
167,-30773.12558328304
168,-30789.140008635502
169,-30827.38324437542
170,-30870.272520062852
171,-30825.51560327402
172,-30858.28581703627
173,-30896.08848390864
174,-30975.312467927943
175,-31074.067064248484
176,-31182.051544890237
177,-31182.100105475634
178,-31165.493822729906
179,-31138.45115527636
180,-31136.09590246791
181,-31135.064138262227
182,-31079.82894233129
183,-31031.569006111145
184,-30996.18186706017
185,-30975.84983881721
186,-30957.46897707802
187,-30952.224932040845
188,-30969.75320955377
189,-30977.39818844235
190,-30962.975241275482
191,-30919.408756806297
192,-30853.013696673104
193,-30858.45673216328
194,-30893.955640733606
195,-30959.44517608282
196,-30984.67031318052
197,-30960.58969949449
198,-30910.558214112545
199,-30843.76365393625
200,-30724.127025786787
201,-30739.075498230388
202,-30671.743928052245
203,-30710.468182019446
204,-30640.048169250662
205,-30656.571590192878
206,-30582.355710349686
207,-30555.539758653547
208,-30556.93948745871
209,-30509.043545700864
210,-30543.211318212863
211,-30622.444961334666
212,-30689.29424757381
213,-30800.752752639528
214,-30821.980589856263
215,-30809.5930023281
216,-30812.35735608493
217,-30859.231423550467
218,-30918.8253334965
219,-30909.299306241173
220,-30934.534984288923
221,-30927.79489081354
222,-30998.391031927622
223,-30949.897291368427
224,-30911.136649253505
225,-30902.60732614847
226,-30897.45013412675
227,-30887.671716842477
228,-30880.155162889725
229,-30852.493634848168
230,-30897.25520656128
231,-30907.346857143795
232,-30913.617886695174
233,-30861.6435030613
234,-30928.584483957937
235,-30956.33602815506
236,-30855.64730415358
237,-30847.70354884379
238,-30826.765147442868
