Sensor,s_0
0,11070.914895762375
1,11032.12153323079
2,11113.554142295985
3,11173.517556930472
4,11114.119348988346
5,11059.837430858868
6,11082.057691831336
7,11104.719956998793
8,11055.451021275021
9,11010.085226783545
10,11005.966066193445
11,10926.647984276418
12,10991.529544953228
13,11034.367266627407
14,11056.150255744125
15,11045.079169820525
16,11016.642648391693
17,10975.526302170752
18,11053.56503097264
19,11048.191853742355
20,11070.167671336145
21,11118.864147412576
22,11000.795763534277
23,11031.664028896228
24,11088.4932583421
25,11043.880008469787
26,11006.934823765909
27,11012.53540469087
28,11052.180793202055
29,11020.27429831542
30,10987.692963639203
31,10934.672649728604
32,10887.441471081127
33,10867.64987253797
34,10830.398447699301
35,10819.384327324797
36,10857.735899369718
37,10914.72669171185
38,10915.558940004366
39,10836.465428180845
40,10774.79625676176
41,10712.2958594302
42,10718.564551073612
43,10658.92486680003
44,10695.49911969592
45,10640.473805101397
46,10671.593586368148
47,10670.221543244244
48,10733.677869002779
49,10706.121632257245
50,10749.605125697552
51,10773.451169465141
52,10693.976248781883
53,10682.881966651235
54,10576.481708148249
55,10612.19927912201
56,10662.732616089153
57,10683.419546338273
58,10748.699159541593
59,10720.25660120617
60,10703.808211338692
61,10728.631140697475
62,10746.994055904535
63,10704.733222507168
64,10709.02315078741
65,10679.02955548852
66,10703.966826691765
67,10650.252277783862
68,10631.047663607776
69,10563.870498834083
70,10543.169077664988
71,10495.669424164847
72,10513.273690799737
73,10525.49183442747
74,10575.701143699798
75,10646.419479647884
76,10600.63740343039
77,10611.431799302543
78,10746.353244344531
79,10789.162192271415
80,10766.162238707024
81,10756.364146365524
82,10731.339187150505
83,10619.361585461927
84,10602.365218846355
85,10564.09872073093
86,10597.624527665026
87,10630.351812704139
88,10551.139598119931
89,10608.289495096053
90,10542.552160270765
91,10528.596980566255
92,10546.169431974367
93,10572.557430119079
94,10556.382533101409
95,10518.463153264369
96,10527.519565162227
97,10596.065586292061
98,10640.355546372219
99,10598.301785228921
100,10585.890311096517
101,10607.10747595494
102,10528.509313002192
103,10546.8290870207
104,10539.299331655357
105,10653.791592963078
106,10658.426382528456
107,10680.613075771853
108,10737.096688311922
109,10679.386291706684
110,10708.849294317755
111,10701.264949992152
112,10789.902001628545
113,10822.465698394253
114,10789.656411593714
115,10773.0528316085
116,10745.086956207888
117,10781.502188772602
118,10750.584418387005
119,10819.023327832445
120,10783.859209689825
121,10793.523087877422
122,10741.553772501888
123,10757.404580420869
124,10775.198413624508
125,10791.56426117264
126,10790.039400643971
127,10839.82087587923
128,10790.519664528052
129,10746.772543294755
130,10732.648548159434
131,10693.50504275678
132,10672.958092246281
133,10750.122247863917
134,10685.549669197366
135,10713.242720541351
136,10632.800943375123
137,10604.708131652807
138,10567.74946856703
139,10546.817332094359
140,10598.389190290714
141,10524.112930552761
142,10588.286328034164
143,10635.272952346955
144,10565.07553857777
145,10550.835855897363
146,10553.454238837072
147,10497.281930979845
148,10521.429553026714
149,10412.743915381634
150,10419.824959789621
151,10432.874939215919
152,10510.684641158754
153,10461.810704274234
154,10402.99297302654
155,10405.429499626596
156,10301.592694042094
157,10329.801926669375
158,10280.143346673605
159,10357.126950553025
160,10406.118188581082
161,10392.136395292708
162,10381.419250993698
163,10379.729511811685
164,10319.463558107649
165,10337.126824797913
166,10342.876042662281
167,10284.832368475872
168,10230.321612900769
169,10204.092040143409
170,10241.956426766586
171,10264.695480911005
172,10228.319626489149
173,10221.374005647453
174,10187.126106356583
175,10190.907554214515
176,10211.96203297621
177,10226.159030191631
178,10178.636232609424
179,10125.452197902823
180,10097.29927758641
181,10097.972470351067
182,10112.550400758093
183,10128.420352102283
184,10118.151146854527
185,10171.437435165975
186,10093.385572539059
187,10047.19606798511
188,10028.705583870573
189,9994.609203091719
190,10020.577432180422
191,10019.401271011675
192,9975.370885364599
193,9980.299018268379
194,10003.152804048717
195,9979.52203030223
196,10041.41874443277
197,9957.461153669847
198,9910.44906832267
199,10041.383058940593
200,9984.411612078717
201,10011.521289825621
202,9996.45389825736
203,9991.364836414328
204,9970.293094097022
205,9943.340441210068
206,9923.038710397786
207,9879.402451410879
208,9865.58276280182
209,9878.260332471415
210,9854.732886245793
211,9810.822313564291
212,9856.99079337017
213,9892.233352987392
214,9952.37038011252
215,9937.703406634006
216,9914.983153940153
217,9874.975975698584
218,9877.221631944994
219,9937.90015782178
220,9912.050339820948
221,10008.042017718044
222,10007.802563616478
223,10032.806308491497
224,10033.150200080172
225,10062.108784760296
226,10082.543106149615
227,10075.024709400835
228,10048.288345845278
229,10108.506451128662
230,10122.073476743111
231,10121.504541821192
232,10109.504908619438
233,10105.644298144187
234,10063.37759741075
235,10100.166938745253
236,10111.072483477375
237,10164.34532662077
238,10245.305253268367
239,10205.426035535787
240,10199.416631320404
241,10212.066756729773
242,10193.642766235533
243,10051.578131240827
244,10047.853458328611
245,10037.038656653707
246,10086.12598026511
247,10090.242991664067
248,9985.900545225624
249,9900.132895107092
250,9811.619075404024
251,9760.607676755786
252,9775.216343561362
253,9720.316594242266
254,9742.260765948698
255,9865.977609647205
256,9883.979284520683
257,9771.879629530651
258,9793.409043980922
259,9755.797358421796
260,9727.604947570882
261,9769.255909975363
262,9730.417141271118
263,9839.10756449968
264,9809.986289620523
265,9828.300500052741
266,9840.105625877271
267,9865.83383536781
268,9899.11389728315
269,9905.014979516478
270,9918.290928329301
271,9927.303134243968
272,9966.504429212473
273,10012.740329682078
274,10026.16138715194
275,10143.284221134982
276,10092.140782882356
277,10126.423749744556
278,10192.431584238611
279,10140.742360008166
280,10151.039331458463
281,10242.15808080095
282,10196.949262510665
283,10132.20462355872
284,10040.075223727623
285,10044.92476194351
286,10018.153936431416
287,9936.745616674683
288,9964.868034836127
289,9970.464570233557
290,9921.086266576707
291,9880.497688491647
292,9798.474963144181
293,9835.924407539891
294,9859.725354420389
295,9821.505578790086
296,9888.646824623616
297,9882.406439318924
298,9897.225495847446
299,9879.979952525291
300,9934.515497463617
301,9935.953485801514
302,9995.887164264554
303,9990.782807695809
304,10038.45593282507
305,10129.528230828038
306,10064.80938687793
307,10013.68669766201
308,10032.682263115683
309,9982.24594649768
310,9948.840408525837
311,9957.7350315524
312,9954.483504781167
313,9968.144404714747
314,9928.591452477533
315,9883.167111540912
316,9854.468125614898
317,9874.58832189707
318,9767.852181364313
319,9748.327988078307
320,9705.364836059322
321,9643.854638631212
322,9613.39817326932
323,9630.961321392515
324,9731.870836202896
325,9746.463284625812
326,9789.512075776882
327,9784.577052892675
328,9817.571780873459
329,9895.375909522932
330,9881.06233822644
331,9944.190271859945
332,9817.827118054496
333,9797.122863075027
334,9748.671735445783
335,9680.658503937708
336,9786.834888869675
337,9842.187684848095
338,9801.086330863978
339,9856.138133922926
340,9815.624873122864
341,9764.658548494674
342,9755.354357977425
343,9762.459403863173
344,9824.083410275494
345,9838.68413593712
346,9849.863903555455
347,9851.199210197206
348,9876.982228223678
349,9883.2740160838
350,9880.798631996586
351,9874.253025763162
352,9831.158195398348
353,9777.577797520793
354,9822.740184650573
355,9748.782735248498
356,9753.198734694033
357,9795.327515503008
358,9746.577505646805
359,9692.577446951975
360,9779.929318180313
361,9772.010648954105
362,9675.109381594759
363,9565.43572024778
364,9573.940438635776
365,9604.913571529352
366,9588.050965888515
367,9551.460761714892
368,9565.377162678287
369,9554.092974865014
